query_id,explicit_subset,gold_citation,source,gold_in_fused_top200,gold_in_rerank_input,gold_rank_before_rerank,gold_fused_rank,gold_rank_after_rerank,gold_in_final_predictions,gold_drop_stage,is_rule_hit,is_normalization_consistent,is_predicted_family_consistent,is_issue_phrase_hit,not_in_rerank_input_missing
val_001,1,Art. 221 Abs. 1 StPO,laws,1,1,19,19,4,1,kept_final,1,1,1,0,
val_001,1,Art. 140 Abs. 1 StGB,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 396 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 222 StPO,laws,1,1,119,119,186,0,cut_by_dynamic_threshold,0,0,1,0,
val_001,1,Art. 393 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 382 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 385 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 221 Abs. 2 StPO,laws,1,1,23,23,45,0,cut_by_dynamic_threshold,0,0,1,0,
val_001,1,Art. 227 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 212 Abs. 3 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 390 Abs. 2 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 422 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 422 Abs. 2 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 428 Abs. 1 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 135 Abs. 4 StPO,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,1,0,simply fused rank too low
val_001,1,Art. 100 Abs. 1 BGG,laws,0,0,-1,-1,-1,0,not_in_rerank_input,0,0,0,0,simply fused rank too low
