query_id,explicit_subset,gold_citation,gold_family,likely_statute_family,predicted_family_consistent,gold_in_fused_top200,gold_fused_rank,gold_in_rerank_input,gold_rerank_input_rank,gold_rank_after_rerank,gold_in_final_cut,gold_in_final_predictions,gold_drop_stage,secondary_loss_tags,dynamic_mode,fixed_top_k,rule_laws_exact_count,rule_laws_exact_citations,rule_exact_gold_hit,rule_exact_spurious_count,final_predictions
val_001,1,Art. 221 Abs. 1 StPO,STPO,STPO;STGB,1,1,19,1,19,4,1,1,kept_final,,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 140 Abs. 1 StGB,STGB,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 396 Abs. 1 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 222 StPO,STPO,STPO;STGB,1,1,119,1,119,186,0,0,reranked_too_low,cut_by_fixed_top_k,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 393 Abs. 1 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 382 Abs. 1 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 385 Abs. 1 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 221 Abs. 2 StPO,STPO,STPO;STGB,1,1,23,1,23,45,0,0,reranked_too_low,cut_by_fixed_top_k,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 227 Abs. 1 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
val_001,1,Art. 212 Abs. 3 StPO,STPO,STPO;STGB,1,0,-1,0,-1,-1,0,0,not_in_rerank_input,not_in_fused,fixed_top_k,5,1,Art. 221 Abs. 1 StPO,1,0,Art. 221 Abs. 1 StPO;Art. 10 Abs. 5 173.712.22;Art. 10 Abs. 3 173.712.22;Art. 10 Abs. 4 173.712.22;Art. 130 StPO
